Origen,Aeropuerto Origen,Hora Salida,Hora de Llegada,Destino,Aeropuerto / Destino,Tiempo Vuelo,Origen / Vuelta,Aeropuerto / Origen,Hora Salida - V,Hora Llegada - V,Destino / Vuelta,Aeropuerto / Destino - Vuelta,Tiempo Vuelo - V,Aerolinea,Precio_1,Agencia_1,Precio_2,Agencia_2,Precio_3,Agencia_3,Clase
Bogota,El Dorado,8:00,9:01,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,6:03,7:00,Bogota,El Dorado,0h 57m,"JetSMART, LATAM Airlines",$279.999,Viajes Falabella,$328.918,eDreams,$257.633,Despegar,Basic
Bogota,El Dorado,9:40,10:41,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,6:48,7:45,Bogota,El Dorado,0h 57m,"JetSMART, LATAM Airlines",$279.999,Viajes Falabella,$328.918,eDreams,$257.633,Despegar,Basic
Bogota,El Dorado,9:40,10:41,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,6:03,7:00,Bogota,El Dorado,0h 57m,"JetSMART, LATAM Airlines",$279.999,Viajes Falabella,$328.918,eDreams,$257.633,Despegar,Basic
Bogota,El Dorado,6:40,7:41,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,6:48,7:45,Bogota,El Dorado,0h 57m,"JetSMART, LATAM Airlines",$279.999,Viajes Falabella,$328.918,eDreams,$257.633,Despegar,Basic
Bogota,El Dorado,6:40,7:41,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,6:03,7:00,Bogota,El Dorado,0h 57m,"JetSMART, LATAM Airlines",$279.999,Viajes Falabella,$328.918,eDreams,$257.633,Despegar,Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,6:03,7:00,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,8:02,9:01,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,20:56,21:54,Bogota,El Dorado,0h 58m,Wingo,$273.420,Wingo,$283.060,Aviatur,$271.886,eDreams,Go Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,11:51,12:47,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$319.987,Viajes Falabella,$395.041,Trip.com,$299.067,Despegar,Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,20:15,21:12,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,8:02,9:01,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,6:00,6:58,Bogota,El Dorado,0h 58m,Wingo,$273.420,Wingo,$283.060,Aviatur,$271.886,eDreams,Go Basic
